personId,ip,h,r,er,bb,k,hr,p,s,hbp,bat_faced,inh_run,inh_run_scored,gameId,outs
122060,9,7,3,3,2,5,2,50,42,0,34,0,0,139271,27
117909,3,5,2,2,1,1,1,19,15,0,14,0,0,131084,9
114299,4,2,0,0,3,4,0,32,20,0,15,0,0,131084,12
120105,0.2,4,3,3,1,1,1,12,8,0,7,0,0,131084,2
120170,1.1,1,0,0,0,0,0,5,5,0,5,2,0,131084,4
117350,9,5,5,4,7,7,1,74,46,0,39,0,0,139278,27
111842,4.1,5,5,5,5,3,0,44,24,0,23,0,0,131092,13
121683,0,1,0,0,1,0,0,5,1,0,2,3,3,131092,0
114089,4.2,2,1,0,1,4,0,28,24,0,17,2,0,131092,14
117514,6,5,4,3,2,1,1,32,24,0,24,0,0,139286,18
115160,2,5,2,2,1,1,0,16,12,0,11,2,2,139286,6
121100,9,9,2,2,7,3,1,68,40,0,41,0,0,131099,27
123200,2.1,7,4,4,2,0,0,21,13,0,15,0,0,139291,7
111842,0.2,1,2,2,2,0,1,11,3,0,5,2,1,139291,2
112287,5,3,1,1,1,0,0,22,18,0,19,0,0,139291,15
120935,7,8,5,5,2,4,1,45,37,0,31,0,0,131108,21
120170,2,1,0,0,2,1,0,17,9,0,9,0,0,131108,6
122910,2,5,3,3,1,2,2,19,15,0,11,0,0,139304,6
113393,4,4,1,1,2,2,1,28,20,0,18,0,0,139304,12
115160,1,1,0,0,0,1,0,5,5,0,3,0,0,139304,3
117350,2,0,0,0,1,1,0,12,8,0,7,0,0,139304,6
117909,7,11,4,4,1,1,1,38,34,0,33,0,0,131117,21
114089,0,3,3,3,0,0,0,3,3,0,3,0,0,131117,0
120170,1,4,3,2,0,1,0,9,9,0,7,2,2,131117,3
114299,9,3,0,0,5,4,0,58,38,0,35,0,0,131118,27
123509,2.1,1,3,0,1,3,1,20,16,0,11,0,0,139312,7
117514,3.2,5,3,3,0,1,2,17,17,0,15,0,0,139312,11
123200,2,4,3,3,1,1,1,15,11,0,10,0,0,139312,6
111842,4,7,4,4,5,2,0,41,21,0,22,0,0,131126,12
121683,2.2,2,0,0,2,1,0,19,11,0,11,2,0,131126,8
114089,2.1,0,0,0,1,2,0,16,12,0,9,2,0,131126,7
122060,7.2,8,2,2,1,4,0,42,38,0,31,0,0,139318,23
115160,1.1,0,0,0,0,1,0,6,6,0,4,1,0,139318,4
117350,4.1,6,5,5,1,0,1,23,18,1,20,0,0,139325,13
112287,2.2,5,2,2,0,2,1,17,17,0,13,1,1,139325,8
111842,1,0,0,0,1,0,0,7,3,0,4,0,0,139325,3
121100,7.2,3,2,0,4,7,0,55,39,0,29,0,0,131136,23
120105,0.1,0,0,0,0,0,0,1,1,0,1,1,0,131136,1
121100,7.2,3,2,0,4,7,0,55,39,0,29,0,0,131136,23
120105,0.1,0,0,0,0,0,0,1,1,0,1,1,0,131136,1
113393,8,8,3,3,2,5,2,49,41,0,33,0,0,139334,24
115160,1,0,0,0,0,1,0,5,5,0,3,0,0,139334,3
111842,6,8,2,2,4,4,1,47,31,0,27,0,0,131147,18
114089,3,1,0,0,0,1,0,12,12,0,10,2,0,131147,9
122910,9,8,1,1,2,5,0,51,42,1,35,0,0,139342,27
117909,9,10,4,2,2,2,0,48,40,0,38,0,0,131154,27
117909,9,10,4,2,2,2,0,48,40,0,38,0,0,131154,27
123509,9,6,2,2,3,8,2,61,49,0,36,0,0,139350,27
121100,9,11,6,6,5,5,1,66,46,0,41,0,0,131167,27
117350,8,9,4,4,0,3,1,38,38,0,32,0,0,139361,24
115160,1,1,1,1,0,1,1,6,6,0,4,0,0,139361,3
113393,1,2,1,1,0,0,0,5,5,0,5,0,0,139361,3
